2;100;10;10;10;10;true;true;true
18;0;0;0;61;0;55
61;0;1;18;16;0;11
16;0;2;61;57;0;78
57;0;3;16;48;0;8
48;0;4;57;32;0;66
32;0;5;48;89;0;91
89;0;6;32;49;0;14
49;0;7;89;100;0;68
100;0;8;49;96;0;77
96;0;9;100;0;0;24
55;1;0;0;11;18;58
11;1;1;55;78;61;27
78;1;2;11;8;16;60
8;1;3;78;66;57;22
66;1;4;8;91;48;6
91;1;5;66;14;32;10
14;1;6;91;68;89;12
68;1;7;14;77;49;30
77;1;8;68;24;100;76
24;1;9;77;0;96;25
58;2;0;0;27;55;34
27;2;1;58;60;11;37
60;2;2;27;22;78;67
22;2;3;60;6;8;53
6;2;4;22;10;66;38
10;2;5;6;12;91;41
12;2;6;10;30;14;95
30;2;7;12;76;68;51
76;2;8;30;25;77;84
25;2;9;76;0;24;20
34;3;0;0;37;58;62
37;3;1;34;67;27;93
67;3;2;37;53;60;5
53;3;3;67;38;22;44
38;3;4;53;41;6;17
41;3;5;38;95;10;4
95;3;6;41;51;12;87
51;3;7;95;84;30;71
84;3;8;51;20;76;19
20;3;9;84;0;25;85
62;4;0;0;93;34;26
93;4;1;62;5;37;72
5;4;2;93;44;67;42
44;4;3;5;17;53;88
17;4;4;44;4;38;29
4;4;5;17;87;41;28
87;4;6;4;71;95;92
71;4;7;87;19;51;63
19;4;8;71;85;84;46
85;4;9;19;0;20;73
26;5;0;0;72;62;65
72;5;1;26;42;93;59
42;5;2;72;88;5;98
88;5;3;42;29;44;52
29;5;4;88;28;17;50
28;5;5;29;92;4;13
92;5;6;28;63;87;31
63;5;7;92;46;71;7
46;5;8;63;73;19;47
73;5;9;46;0;85;97
65;6;0;0;59;26;21
59;6;1;65;98;72;43
98;6;2;59;52;42;69
52;6;3;98;50;88;35
50;6;4;52;13;29;36
13;6;5;50;31;28;83
31;6;6;13;7;92;81
7;6;7;31;47;63;86
47;6;8;7;97;46;3
97;6;9;47;0;73;56
21;7;0;0;43;65;90
43;7;1;21;69;59;64
69;7;2;43;35;98;23
35;7;3;69;36;52;82
36;7;4;35;83;50;15
83;7;5;36;81;13;40
81;7;6;83;86;31;39
86;7;7;81;3;7;80
3;7;8;86;56;47;54
56;7;9;3;0;97;79
90;8;0;0;64;21;1
64;8;1;90;23;43;99
23;8;2;64;82;69;75
82;8;3;23;15;35;74
15;8;4;82;40;36;45
40;8;5;15;39;83;94
39;8;6;40;80;81;33
80;8;7;39;54;86;9
54;8;8;80;79;3;2
79;8;9;54;0;56;70
1;9;0;0;99;90;0
99;9;1;1;75;64;0
75;9;2;99;74;23;0
74;9;3;75;45;82;0
45;9;4;74;94;15;0
94;9;5;45;33;40;0
33;9;6;94;9;39;0
9;9;7;33;2;80;0
2;9;8;9;70;54;0
70;9;9;2;0;79;0
